Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
ungipaghaatanga	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-agh[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-aate[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-ate[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-ate[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-ate[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-ate[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	Ungipagh-agh[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	Ungipagh-agh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
