Taghnughhaq qapragllequq aqumgamakuni.

taghnughhaq	taghnughhagh*[N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V][V][Trns][Ind][2Sg][3Sg]

------------------------
Tagiiqngan alikaqa.

tagiiqngan	tagi-ugh[V→V]-––iqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-ugh[V→V]-––iqe[V→V]-~fnga[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-ugh[V→V]-––iqe[V→V][V][Intr][CnsqI][3Sg]
tagiiqngan	tagi-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-~(g₁)aqe[V→V]-~fnga[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-~(g₁)aqe[V→V][V][Intr][CnsqI][3Sg]
tagiiqngan	tagi-aq[V→N]-––iqe[N→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-aq[V→N]-––iqe[N→V]-~fnga[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-aq[V→N]-––iqe[N→V][V][Intr][CnsqI][3Sg]
tagiiqngan	tagi-––iqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-––iqe[V→V]-~fnga[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-––iqe[V→V][V][Intr][CnsqI][3Sg]
tagiiqngan	tagi[V][Intr][CnsqII][3Sg]
tagiiqngan	tagi[V][Trns][CnsqII][3Sg]
tagiiqngan	tagi-aq[V→N]-~–ke[N→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-aq[V→N]-~–ke[N→V]-~fnga[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tagiiqngan	tagi-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][3Sg]
tagiiqngan	tagi-aq[V→N]-~–ke[N→N][N][Rel][3SgPoss][SgPosd]
tagiiqngan	tagi-aq[V→N]-~–ke[N→N][N][Rel][3SgPoss][PlPosd]

alikaqa	aw-–li[N→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-@₁~:(u)te[V→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-@₁~:(u)n[V→N]-~–ke[N→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-@₁~:(u)n[V→N][N][Abs][1SgPoss][SgPosd]-qa[Encl]
alikaqa	aw-–li[N→V]-te[V→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~–(g₁)kaq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~–(g₁)kaq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
alikaqa	aw-–li[N→V]-~–(g₁)kaq[V→N][N][Abs][1SgPoss][SgPosd]
alikaqa	aw-–li[N→V]-~–(g₁)kaq[V→N][N][Abs][3SgPoss][SgPosd]
alikaqa	aw-–li[N→V]-~:(u)te[V→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~:(u)te[V→N]-te[N→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~–(g₁)kaqe[V→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~sf–(g₃)kaq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
alikaqa	aw-–li[N→V]-~sf–(g₃)kaq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
alikaqa	aw-–li[N→V]-~sf–(g₃)kaq[V→N][N][Abs][1SgPoss][SgPosd]
alikaqa	aw-–li[N→V]-~sf–(g₃)kaq[V→N][N][Abs][3SgPoss][SgPosd]
alikaqa	aw-–li[N→V]-@₂~fkaq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
