AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
piiqegkangit	pi-ugh[V→V]-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-igh[N→V]-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-igh[N→V]-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-igh[N→V]-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-~(g₁)aqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-~(g₁)aqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-~(g₁)aqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-aq[V→N]-––iqe[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-aq[V→N]-––iqe[N→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-aq[V→N]-––iqe[N→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-agh[N→V]-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-agh[N→V]-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-agh[N→V]-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-––iqe[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-––iqe[N→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-––iqe[N→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	pi-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	pi-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	piig-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	piig-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	piig-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	piigh-––iqe[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	piigh-––iqe[N→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	piigh-––iqe[N→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	piigh-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-aq[V→N]-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	paagh-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	paagh-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
piiqegkangit	paagh-––iqe[V→V][V][Trns][Ptcp][3Pl][3Pl]
piiqegkangit	paaw-––iqe[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	paaw-––iqe[N→V][V][Trns][Ptcp][3Du][3Sg]
