Ayngaghlingaawetenkuk, Qilakaghiilaankuk

------------------------
Puughhutem Ungipaghaa

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]
natetalghii	na-~:(u)te[V→N]-tagh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
natetalghii	na-te[V→V]-tagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

nallaalghii	na-–llaag[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nallaalghii	nallagh-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Ilughaghhaa Qilakaghiilaq nekeggmetalghii, aatkaqegtaq, pinitun kiyaghtaaq kakighllak quunpeng.

ilughaghhaa	ilu-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ilughaghhaa	ilu-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]
ilughaghhaa	ilu-–ghagh*[N→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ilughaghhaa	ilu-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]
ilughaghhaa	ilughagh*-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ilughaghhaa	ilughagh*-–ghhagh*[N→N][N][Abs][3SgPoss][SgPosd]

aatkaqegtaq	aate-~–(g₁)kaq[V→N]-~–kegte[N→V][V][Trns][Ind][3Sg][3Du]
aatkaqegtaq	aate-~–(g₁)kaq[V→N]-~–kegtaq[N→N][N][Abs][Unpd][Sg]
aatkaqegtaq	aate-@₂~fkaq[V→N]-~–kegte[N→V][V][Trns][Ind][3Sg][3Du]
aatkaqegtaq	aate-@₂~fkaq[V→N]-~–kegtaq[N→N][N][Abs][Unpd][Sg]
aatkaqegtaq	aatkagh-~–kegte[N→V][V][Trns][Ind][3Sg][3Du]
aatkaqegtaq	aatkagh-~–kegtaq[N→N][N][Abs][Unpd][Sg]
aatkaqegtaq	aghte-@₁~:(u)te[V→V]-~–(g₁)kaq[V→N]-~–kegte[N→V][V][Trns][Ind][3Sg][3Du]
aatkaqegtaq	aghte-@₁~:(u)te[V→V]-~–(g₁)kaq[V→N]-~–kegtaq[N→N][N][Abs][Unpd][Sg]
aatkaqegtaq	aghte-@₁~:(u)te[V→V]-@₂~fkaq[V→N]-~–kegte[N→V][V][Trns][Ind][3Sg][3Du]
aatkaqegtaq	aghte-@₁~:(u)te[V→V]-@₂~fkaq[V→N]-~–kegtaq[N→N][N][Abs][Unpd][Sg]

pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pinitun	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
