Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]
nekegtaqaat	nekeg-–ghte[N→V]-~(g₁)aqe[V→V][V][Trns][Ind][3Pl][3Sg]
nekegtaqaat	nekeg-te[N→V]-~(g₁)aqe[V→V][V][Trns][Ind][3Pl][3Sg]
nekegtaqaat	nekeg-ta[N→N]-qe[N→V][V][Trns][Ind][3Pl][3Sg]

vuvalla	vuvalla[N][Abs][Unpd][Sg]

------------------------
Taaqneghmegteggu vuvallam yuga aanaquq eslamun.

vuvallam	vuvalla[N][Rel][Unpd][Sg]

yuga	yu(u)g[N][Abs][3SgPoss][SgPosd]
yuga	yug[N][Abs][3SgPoss][SgPosd]

aanaquq	aane-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]

eslamun	esla-~fmete[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eslamun	esla-~fmete[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
eslamun	esla[N][Ter][Unpd][Sg]

------------------------
Kiyaghtalleghmun kelgutaquq mumeghmeng tugumiighluni nalighmeng aquutameng.

kelgutaquq	keleg-–ghte[V→V]-@₁~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-–ghte[V→V]-@₁~:(u)taq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-–ghte[V→V]-@₁~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-@₁~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-@₁~:(u)taq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-@₁~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-te[V→V]-@₁~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-te[V→V]-@₁~:(u)taq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-te[V→V]-@₁~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-~–ke[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-~:(u)te[V→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]
kelgutaquq	keleg-~:(ng₁)u[V→V]-~:(u)ta[V→N]-qe[N→V][V][Intr][Ind][3Sg]
