Yuuk Enkaam Qateghyiighaghhaq

enkaam	enkaam

qateghyiighaghhaq	qateghyiighagh*-–ghhagh*[N→N][N][Abs][Unpd][Sg]

------------------------


	

------------------------
Yuugnguq iimna aghvengyupiglleghhii.

nuliini	nulugh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––ii[N→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––ii[N→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––ii[N→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––ii[N→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––ii[N→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––ii[N→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––i[N→V]-aq[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––i[N→V]-aq[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––ii[N→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––ii[N→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––ii[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––ii[N→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––ii[N→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––ii[N→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––ii[N→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nuliigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nuliigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nuliigh-––i[N→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	nuliigh-––i[N→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulighh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulighh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
