Siingvallagha

siingvallagha	siingvallagha[V][Intr][Opt][PRS][2Sg]
pillequnga	pi-–lleq[V→N]-~–ke[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-~–ke[N→V][V][Intr][Ind][1Sg]
pillequnga	pi-–lleq[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-–lleq[V→N]-~:(ng₁)u[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
pillequnga	pi-–lleq[V→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
pillequnga	pi-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-@₁lleqe[V→V][V][Intr][Ind][1Sg]

------------------------
Atangan pimakanga,

atangan	ata-–nge[N→V][V][Trns][Ind][2Sg][3Sg]
atangan	ata[N][Rel][3SgPoss][SgPosd]
atangan	ata[N][Rel][3SgPoss][PlPosd]

pimakanga	pi-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
